,SUCEPTIBLE HOST,INFECTED HOST,SUCEPTIBLE VECTOR 1,SUCEPTIBLE VECTOR 2,SUCEPTIBLE VECTOR 3,SUCEPTIBLE VECTOR 4,SUCEPTIBLE VECTOR 5,SUCEPTIBLE VECTOR 6,INFECTED VECTOR 1,INFECTED VECTOR 2,INFECTED VECTOR 3,INFECTED VECTOR 4,INFECTED VECTOR 5,INFECTED VECTOR 6
359,1002.9190944959503,64.970866048598,6136.780915348129,7141.410247292006,8282.112248531063,9565.755786503429,0.0,0.0,2023.7186824950759,2138.8921834922908,2168.530365695452,2053.5730340718183,0.0,0.0
360,1002.9255941816486,64.89286982021738,6130.832022462776,7137.054953956649,8279.916041082208,9566.327249656519,0.0,0.0,2021.5688992421626,2137.7547670177364,2168.477218239313,2054.4350133931002,0.0,0.0
361,1002.932086064604,64.81496722475276,6124.898260571198,7132.711398602208,8277.728786596394,9566.905675060409,0.0,0.0,2019.4126057757805,2136.608491862266,2168.414783169799,2055.2896017211697,0.0,0.0
362,1002.9385701541835,64.7371581497997,6118.979573599957,7128.379538983021,8275.550455373426,9567.491045143028,0.0,0.0,2017.2498840715052,2135.453427059847,2168.3431086674896,2056.1368238863924,0.0,0.0
363,1002.9450464597427,64.65944248308867,6113.075905747208,7124.059333044699,8273.381017831507,9568.083342388676,0.0,0.0,2015.0808155067123,2134.2896412492655,2168.262242702032,2056.9767046401244,0.0,0.0
364,1002.9515149906264,64.58182011248498,6107.187201481122,7119.750738923128,8271.220444506722,9568.682549337831,0.0,0.0,2012.9054808646158,2133.1172026763043,2168.1722330330754,2057.8092686549817,0.0,0.0
365,1002.9579757561677,64.50429092598849,6101.313405538313,7115.453714943479,8269.068706052509,9569.288648586944,0.0,0.0,2010.7239603382905,2131.936179195914,2168.073127211199,2058.634540525114,0.0,0.0
366,1002.9644287656889,64.42685481173352,6095.454462922262,7111.168219619219,8266.925773239143,9569.901622788244,0.0,0.0,2008.5363335346774,2130.7466382743764,2167.9649725788363,2059.4525447664764,0.0,0.0
367,1002.970874028501,64.34951165798873,6089.610318901757,7106.89421165113,8264.791616953216,9570.521454649539,0.0,0.0,2006.3426794785707,2129.548646991458,2167.847816271199,2060.2633058170964,0.0,0.0
368,1002.9773115539036,64.27226135315685,6083.7809190093385,7102.631649926325,8262.666208197123,9571.148126934018,0.0,0.0,2004.1430766165925,2128.3422720425565,2167.7217052171936,2061.0668480373447,0.0,0.0
369,1002.9837413511856,64.19510378577463,6077.966209039746,7098.380493517275,8260.549518088535,9571.781622460057,0.0,0.0,2001.9376028211468,2127.127579740838,2167.5866861403383,2061.8631957102034,0.0,0.0
370,1002.9901634296241,64.1180388445126,6072.16613504837,7094.140701680834,8258.441517859901,9572.42192410102,0.0,0.0,1999.726335394362,2125.904636019365,2167.442805559675,2062.652373041534,0.0,0.0
371,1002.9965777984855,64.04106641817494,6066.380643349715,7089.912233857273,8256.342178857929,9573.069014785064,0.0,0.0,1997.509351072017,2124.673506433222,2167.290109790677,2063.4344041603413,0.0,0.0
372,1003.0029844670252,63.96418639569931,6060.609680515861,7085.695049669309,8254.251472543074,9573.722877494947,0.0,0.0,1995.2867260274518,2123.434256161625,2167.128644946159,2064.2093131190422,0.0,0.0
373,1003.0093834444871,63.88739866615672,6054.853193374937,7081.489108921144,8252.169370489033,9574.383495267832,0.0,0.0,1993.058535875466,2122.1869500100297,2166.9584569371755,2064.9771238937296,0.0,0.0
374,1003.0157747401041,63.81070311875134,6049.1111290095905,7077.294371597509,8250.09584438224,9575.05085119509,0.0,0.0,1990.8248556762017,2120.931652412232,2166.7795914739245,2065.737860384436,0.0,0.0
375,1003.0221583630984,63.73409964282032,6043.383434755471,7073.110797862702,8248.03086602136,9575.724928422116,0.0,0.0,1988.5857599390129,2119.6684274324566,2166.592094066643,2066.4915464153974,0.0,0.0
376,1003.0285343226806,63.6575881278337,6037.670058199717,7068.9383480596425,8245.97440731678,9576.405710148125,0.0,0.0,1986.3413226263242,2118.397338767444,2166.3960100265012,2067.238205735316,0.0,0.0
377,1003.0349026280505,63.58116846339416,6031.970947179434,7064.776982708912,8243.926440290117,9577.093179625968,0.0,0.0,1984.0916171574743,2117.118449748527,2166.1913844664955,2067.977862017622,0.0,0.0
378,1003.041263288397,63.504840539236966,6026.286049788182,7060.62666251145,8241.886937075014,9577.787320162251,0.0,0.0,1981.8367163928656,2115.831823336476,2165.9782623002707,2068.7105388603413,0.0,0.0
379,1003.0476163128976,63.42860424522979,6020.615314419046,7056.487348367909,8239.855869923911,9578.48811511889,0.0,0.0,1979.5766925278735,2114.5375220832257,2165.756688231474,2069.4362597841537,0.0,0.0
380,1003.053961710719,63.352459471372505,6014.958689675502,7052.359001337801,8237.833211193256,9579.195547909485,0.0,0.0,1977.311617312726,2113.235608213233,2165.52670677731,2070.1550482369794,0.0,0.0
